time,altitude,rc_ele,rc_thr,rc_rud,tx_ele,tx_thr,tx_rud,acc_X,acc_Y,acc_Z,gyro_pitch,gyro_roll,gyro_yaw
29.000273,1.78,-475,1849,-267,1006,2011,1126,4166,1088,12154,42.48170303868866,-38.85246465448415,-43.12614369881829
29.001273,1.78,-477,1849,-275,1006,2011,1126,4307,1055,12062,40.91366579037099,-37.35139703401745,-43.0377302401749
29.002275,1.78,-480,1849,-283,1006,2011,1126,4438,1007,11982,39.36031083856468,-35.82576349836172,-42.95606376538245
29.003274,1.78,-482,1849,-289,1006,2011,1126,4565,946,11919,37.82409384764065,-34.276768377741284,-42.881747095968635
29.004277,1.78,-483,1849,-295,1006,2011,1126,4684,870,11881,36.30744366723207,-32.70564947738413,-42.81538121690015
29.005279,1.78,-485,1849,-300,1006,2011,1126,4791,782,11882,34.812756493165566,-31.113675170297316,-42.75756316396392
29.00628,1.78,-486,1849,-304,1006,2011,1126,4893,687,11925,33.34239014726002,-29.502141539256833,-42.70888391406936
29.00728,1.78,-487,1849,-307,1006,2011,1126,4990,595,12006,31.898658484919203,-27.872369589404624,-42.66992629316307
29.008286,1.78,-488,1849,-311,1005,2011,1100,5081,511,12123,30.48382594220202,-26.225702553840573,-42.641262916049996
29.009284,1.78,-489,1849,-316,1005,2011,1100,5173,442,12275,29.10010223621728,-24.56350331367606,-42.62345417113113
29.010286,1.78,-489,1849,-321,1005,2011,1100,5267,386,12454,27.749637234735822,-22.88715195103814,-42.61704626120351
29.011286,1.78,-490,1849,-326,1005,2011,1100,5351,337,12654,26.43451601338594,-21.19804344918197,-42.62256930940356
29.012288,1.78,-490,1849,-331,1005,2011,1100,5424,291,12871,25.156754121608486,-19.49758554919987,-42.640535537363625
29.013289,1.78,-490,1849,-335,1005,2011,1100,5489,249,13094,23.91829308109095,-17.787196768525277,-42.671437520839916
29.014294,1.78,-491,1849,-338,1005,2011,1100,5543,212,13312,22.720996141908643,-16.068304582766338,-42.71574652654284
29.015292,1.78,-491,1849,-340,1005,2011,1100,5591,185,13517,21.566644321406244,-14.342343769214049,-42.77391093267036
29.016294,1.78,-491,1849,-342,1005,2011,1100,5640,170,13699,20.45693274876755,-12.610754907346763,-42.846354734722716
29.017298,1.78,-491,1849,-345,1005,2011,1088,5684,167,13849,19.393467334593073,-10.874983028677565,-42.933476137607656
29.018298,1.78,-491,1849,-348,1005,2011,1088,5727,172,13963,18.377761780214332,-9.136476405428766,-43.035646234797234
29.019299,1.78,-491,1849,-351,1005,2011,1088,5777,183,14028,17.411234936566174,-7.396685464837561,-43.15320777523468
29.020301,1.78,-491,1849,-354,1005,2011,1088,5830,196,14039,16.495208517639973,-5.657061813527788,-43.286474018642814
29.021301,1.78,-491,1849,-356,1005,2011,1088,5881,208,13990,15.630905168809576,-3.919057354470192,-43.435727679678315
29.022304,1.78,-491,1849,-358,1005,2011,1088,5936,218,13873,14.819446885560005,-2.1841234775813083,-43.601219960885985
29.023303,1.78,-491,1849,-360,1005,2011,1088,5991,227,13688,14.061853773570848,-0.4537103039278412,-43.78316967364688
29.024305,1.78,-491,1849,-362,1005,2011,1088,6040,233,13439,13.35904313697739,1.2707340371145939,-43.98176244541677
29.025304,1.78,-491,1849,-363,1005,2011,1088,6087,238,13129,12.711828878133437,2.9877641184318966,-44.197150010731434
29.026312,1.78,-490,1849,-363,1025,2011,1088,6132,246,12759,12.120921189486932,4.695937933409036,-44.42944958295585
29.027307,1.87,-486,1849,-364,1025,2011,1088,6171,255,12337,11.58692651622552,6.393817639990492,-44.678743303675404
29.028309,1.87,-482,1849,-364,1025,2011,1088,6204,262,11872,11.1103477670248,8.079970345898197,-44.94507776682101
29.029309,1.87,-478,1849,-365,1025,2011,1088,6228,269,11371,10.691584749519816,9.752968946858095,-45.228463614815
29.030312,1.87,-474,1849,-365,1025,2011,1088,6244,277,10848,10.330934806939034,11.41139302603086,-45.52887520402359
29.031312,1.87,-470,1849,-365,1025,2011,1088,6259,287,10311,10.02859363257613,13.053829819437551,-45.846250336580916
29.032314,1.87,-467,1849,-365,1025,2011,1088,6269,301,9772,9.784656239644299,14.678875249255032,-46.180490055357026
29.033316,1.87,-465,1849,-365,1025,2011,1088,6272,311,9241,9.599118065987339,16.28513502429582,-46.53145849869619
29.034319,1.87,-463,1849,-365,1025,2011,1088,6273,316,8731,9.471876196332847,17.871225804411516,-46.89898281171843
29.035322,1.87,-461,1849,-365,1040,2011,1088,6269,314,8249,9.402730689101343,19.435776422846367,-47.28285311147193
29.036319,1.87,-457,1849,-365,1040,2011,1088,6259,307,7807,9.39138599970091,20.977429158180513,-47.6828225038562
29.037319,1.87,-453,1849,-365,1040,2011,1088,6244,303,7412,9.43745249722272,22.494841046344877,-48.09860715074479
29.038322,1.87,-450,1849,-365,1040,2011,1088,6223,306,7070,9.540448076377372,23.986685224052046,-48.52988638600667
29.039323,1.87,-446,1849,-365,1040,2011,1088,6192,317,6789,9.699799871411528,25.451652298008334,-48.97630287921107
29.040325,1.87,-444,1849,-365,1040,2011,1088,6151,333,6573,9.914846083621093,26.88845173883677,-49.437462845827866
29.041325,1.87,-441,1849,-365,1040,2011,1088,6101,349,6424,10.18483793897042,28.295813303652334,-49.91293630286136
29.042329,1.87,-440,1849,-365,1040,2011,1088,6042,359,6345,10.508941797039308,29.67248849554743,-50.402257369169305
29.043329,1.87,-438,1849,-365,1040,2011,1088,5973,361,6333,10.88624143652912,31.017252071182888,-50.904924610216234
29.044335,1.87,-436,1849,-365,1056,2011,1095,5892,356,6380,11.31574054550545,32.32890360927626,-51.420401427690635
29.045332,1.87,-433,1849,-364,1056,2011,1095,5803,348,6478,11.796365446299415,33.606269153618385,-51.94811649531791
29.046333,1.87,-429,1849,-363,1056,2011,1095,5713,340,6624,12.32696808529989,34.84820294501791,-52.487464243317895
29.047334,1.87,-425,1849,-361,1056,2011,1095,5618,335,6810,12.906329316539695,36.05358925761914,-53.037805395192215
29.048335,1.87,-422,1849,-360,1056,2011,1095,5518,335,7028,13.533162505064846,37.221344356215766,-53.5984675617403
29.049334,1.87,-419,1849,-359,1056,2011,1095,5423,337,7267,14.206117471868529,38.3504185920126,-54.168745898281706
29.050339,1.87,-417,1849,-358,1056,2011,1095,5331,341,7513,14.923784796989164,39.43979865411451,-54.747903831943866
29.051337,1.87,-415,1849,-357,1056,2011,1095,5237,342,7755,15.68470049128031,40.48850999225023,-55.33517386646762
29.05234,1.87,-414,1849,-357,1056,2011,1095,5144,340,7981,16.487351040351257,41.49561942273023,-55.92975847225271
29.053344,1.87,-411,1849,-357,1081,2011,1095,5050,337,8180,17.330178816572733,42.46023792475421,-56.5308310694683
29.054343,1.87,-407,1849,-356,1081,2011,1095,4950,335,8346,18.21158784728337,43.38152362837642,-57.137537112225694
29.055342,1.87,-402,1849,-356,1081,2011,1095,4846,337,8475,19.129949919664703,44.25868498897407,-57.74899528217264
29.056343,1.87,-396,1849,-356,1081,2011,1095,4740,341,8558,20.083610995275706,45.09098413600027,-58.36429880038702
29.057344,1.87,-392,1849,-356,1081,2011,1095,4629,347,8593,21.070897899864487,45.877740376052714,-58.98251686691607
29.058346,1.87,-388,1849,-356,1081,2011,1095,4518,355,8575,22.090125246685073,46.61833382183378,-59.60269623746118
29.059347,1.87,-384,1849,-356,1081,2011,1095,4410,366,8503,23.1396025443565,47.31220910958451,-60.22386294644961
29.060348,1.87,-382,1849,-356,1081,2011,1095,4308,376,8378,24.217641433705726,47.95887915832854,-60.84502418516294
29.061349,1.87,-380,1849,-356,1081,2011,1095,4216,381,8206,25.322562992389308,48.55792891514851,-61.46517034280126
29.062355,1.87,-376,1849,-356,1110,2011,1095,4135,379,7993,26.452705041760247,49.109019022095694,-62.083277217299056
29.063351,1.87,-371,1849,-356,1110,2011,1095,4058,370,7750,27.6064293875381,49.61188933234076,-62.698308401201544
29.064354,1.87,-365,1849,-356,1110,2011,1095,3977,361,7482,28.78212892406273,50.06636219588858,-63.30921784583788
29.065354,1.87,-359,1849,-356,1110,2011,1095,3885,354,7195,29.978234531084354,50.47234542898911,-63.91495260444068
29.066357,1.87,-354,1849,-356,1110,2011,1095,3781,351,6893,31.193221692366187,50.82983487691957,-64.5144557518752
29.067356,1.87,-349,1849,-356,1110,2011,1095,3669,353,6577,32.42561676724619,51.138916477601114,-65.10666947527902
29.068357,1.87,-346,1849,-356,1110,2011,1095,3554,356,6252,33.674002850004136,51.39976773373223,-65.6905383261064
29.06936,1.87,-343,1849,-356,1110,2011,1095,3438,360,5926,34.93702515721783,51.6126585038542,-66.26501261981615
29.070361,1.87,-341,1849,-356,1110,2011,1095,3318,367,5605,36.21339588962363,51.77795102830414,-66.82905196493189
29.071365,1.87,-336,1849,-356,1150,2011,1095,3192,378,5295,37.50189852168251,51.89609911476948,-67.38162889881838
29.072363,1.87,-330,1849,-356,1150,2011,1095,3063,396,4998,38.80139147880735,51.96764642020914,-67.92173260360059
29.073364,1.87,-323,1849,-356,1150,2011,1095,2936,422,4723,40.11081116911816,51.993223780807256,-68.44837267233191
29.074365,1.87,-316,1849,-356,1150,2011,1095,2813,456,4477,41.429174343818175,51.97354555871814,-68.96058289272048
29.075363,1.87,-309,1849,-356,1150,2011,1095,2693,496,4268,42.75557976769224,51.90940499321476,-69.4574250134017
29.076366,1.87,-304,1849,-356,1150,2011,1095,2572,540,4096,44.08920918847552,51.801668564331585,-69.93799245602881
29.077367,1.87,-299,1849,-356,1150,2011,1095,2448,587,3961,45.42932760065701,51.65126939894607,-70.40141393558751
29.078369,1.87,-296,1849,-356,1150,2011,1095,2322,636,3856,46.77528280563484,51.45919977167269,-70.84685695149308
29.079372,1.87,-293,1849,-356,1150,2011,1095,2190,685,3772,48.12650427633767,51.22650277472171,-71.27353111320146
29.080376,1.87,-289,1849,-355,1184,2011,1102,2055,732,3702,49.482501340949256,50.95426325088221,-71.68069126616079
29.081372,1.87,-283,1849,-354,1184,2011,1102,1922,774,3640,50.842860707388155,50.643598101407065,-72.06764038685627
29.082375,1.87,-278,1849,-353,1184,2011,1102,1795,810,3584,52.207243357252835,50.295646095683054,-72.43373221937875
29.083374,1.87,-272,1849,-351,1184,2011,1102,1678,842,3535,53.57538084423409,49.91155732241823,-72.77837363020745
29.084377,1.87,-267,1849,-350,1184,2011,1102,1572,871,3495,54.94707103689095,49.49248243314093,-73.10102666242938
29.085378,1.87,-263,1849,-349,1184,2011,1102,1481,903,3466,56.32217334901677,49.039561838363404,-73.4012102750625
29.086381,1.87,-259,1849,-348,1184,2011,1102,1404,939,3452,57.70060350278804,48.55391502456882,-73.6785017572131
29.08738,1.87,-256,1849,-347,1184,2011,1102,1337,976,3453,59.08232787088584,48.036630165567274,-73.93253781035808
29.088384,1.87,-254,1849,-347,1184,2011,1102,1281,1011,3465,60.46735744428531,47.48875420400761,-74.1630152951604
29.089389,1.87,-253,1849,-347,1184,2011,1102,1232,1041,3482,61.85574147283952,46.911283577240475,-74.36969164207916
29.090387,1.87,-251,1849,-346,1184,2011,1102,1185,1063,3496,63.24756082645855,46.305155755570986,-74.55238492782549
29.091386,1.87,-251,1849,-346,1184,2011,1102,1138,1076,3495,64.64292112578484,45.6712417495591,-74.7109736225965
29.092389,1.87,-250,1849,-346,1184,2011,1102,1092,1077,3472,66.04194569271843,45.01033972627724,-74.84539601606767
29.09339,1.87,-250,1849,-346,1184,2011,1102,1046,1066,3422,67.4447683725449,44.32316985302197,-74.9556493333126
29.094391,1.87,-249,1849,-346,1184,2011,1102,1001,1046,3346,68.85152628017235,43.61037046224512,-75.04178855503106
29.095393,1.87,-249,1849,-346,1184,2011,1102,956,1019,3246,70.26235252264794,42.87249560484105,-75.10392495957178
29.096394,1.87,-249,1849,-346,1184,2011,1102,913,984,3132,71.67736894854816,42.11001403148363,-75.14222440716347
29.097394,1.87,-249,1849,-346,1184,2011,1102,874,940,3008,73.0966789720553,41.32330961414341,-75.15690538947769
29.098401,1.87,-249,1849,-347,1185,2011,1088,835,884,2875,74.5203605156816,40.51268319267358,-75.14823687010087
29.099398,1.87,-248,1849,-349,1185,2011,1088,793,814,2734,75.94845911099287,39.67835580474509,-75.11653594364446
29.100399,1.87,-248,1849,-351,1185,2011,1088,749,733,2582,77.38098119184178,38.82047323173493,-75.06216534308437
29.1014,1.87,-248,1849,-354,1185,2011,1088,710,643,2411,78.817887610081,37.93911176880323,-74.98553082649464
29.102401,1.87,-247,1849,-356,1185,2011,1088,682,551,2212,80.25908739977709,37.03428510489401,-74.8870784754764
29.1034,1.87,-247,1849,-358,1185,2011,1088,661,465,1980,81.70443181278937,36.10595217865148,-74.76729193799422
29.104402,1.87,-247,1849,-360,1185,2011,1088,643,391,1720,83.15370864656256,35.154025860501584,-74.62668964777957
29.105405,1.87,-247,1849,-362,1185,2011,1088,629,330,1444,84.60663688427842,34.17838230081642,-74.46582205086277
29.106406,1.87,-247,1849,-363,1185,2011,1088,619,277,1169,86.06286166770833,33.17887078025687,-74.28526886720867
29.107409,1.87,-247,1849,-363,1185,2011,1088,606,224,908,87.52194962330987,32.15532390110196,-74.08563641197823
29.108408,1.87,-247,1849,-364,1185,2011,1088,584,168,673,88.98338456142235,31.107567966091526,-73.86755499668247
29.109408,1.87,-247,1849,-364,1185,2011,1088,550,107,464,90.4465635665721,30.035433401452465,-73.63167642549281
29.11041,1.87,-247,1849,-365,1185,2011,1088,503,39,270,91.9107934945283,28.938765091034753,-73.37867159646319
29.111409,1.87,-247,1849,-365,1185,2011,1088,438,-37,82,93.37528788999064,27.817432497898523,-73.10922821196634
29.112412,1.87,-247,1849,-365,1185,2011,1088,357,-118,-101,94.8391643386189,26.671339458629184,-72.8240485980497
29.113412,1.87,-247,1849,-365,1185,2011,1088,268,-200,-276,96.30144226882608,25.500433544788965,-72.52384762939876
29.114415,1.87,-247,1849,-365,1185,2011,1088,181,-281,-440,97.76104122164162,24.304714895432358,-72.20935075540639
29.115413,1.87,-247,1849,-365,1185,2011,1088,96,-365,-584,99.21677960961219,23.084244434289488,-71.88129212313716
29.116421,1.87,-247,1849,-365,1185,2011,1088,17,-452,-696,100.66737398681224,21.839151394837838,-71.54041279406579
29.117418,1.87,-247,1849,-365,1185,2011,1088,-55,-544,-771,102.11143885096288,20.569640086043396,-71.18745905274325
29.11842,1.87,-247,1849,-365,1185,2011,1088,-120,-638,-808,103.5474869955482,19.275995841254463,-70.8231808066168
29.119421,1.96,-247,1849,-365,1185,2011,1088,-177,-730,-811,104.97393042531459,17.958590102971375,-70.44833007691916
29.120421,1.96,-247,1849,-365,1185,2011,1088,-226,-815,-790,106.38908184359025,16.617884607505633,-70.06365958082772
29.121423,1.96,-247,1849,-365,1185,2011,1088,-264,-889,-755,107.79115671539174,15.254434646137204,-69.6699214050568
29.122426,1.96,-247,1849,-365,1185,2011,1088,-292,-949,-718,109.17827590677598,13.868891392913067,-69.26786577072332
29.123425,1.96,-247,1849,-365,1185,2011,1088,-315,-995,-686,110.54846889833038,12.462003302784643,-68.85823988864101
29.12443,1.96,-247,1849,-365,1185,2011,1088,-339,-1028,-663,111.8996775686792,11.03461659638678,-68.44178690303119
29.125435,1.96,-247,1849,-365,1185,2011,1097,-364,-1046,-649,113.22976054180874,9.58767485895793,-68.01924491997256
29.126432,1.96,-247,1849,-364,1185,2011,1097,-394,-1050,-642,114.53649808933483,8.122217790864761,-67.59134611485928
29.127431,1.96,-247,1849,-362,1185,2011,1097,-426,-1043,-640,115.81759757522828,6.63937915630072,-67.15881591087856
29.128432,1.96,-247,1849,-360,1185,2011,1097,-459,-1025,-642,117.07069942590327,5.140383984992654,-66.72237221835098
29.129434,1.96,-247,1849,-359,1185,2011,1097,-490,-994,-650,118.29338360323887,3.6265450886243333,-66.28272472308976
29.130437,1.96,-247,1849,-358,1185,2011,1097,-514,-955,-664,119.48317655259048,2.099258958391258,-65.84057421106499
29.131436,1.96,-247,1849,-357,1185,2011,1097,-526,-912,-688,120.63755859271735,0.560001112122223,-65.39661191671807
29.132438,1.96,-247,1849,-356,1185,2011,1097,-528,-871,-727,121.75397171026164,-0.989679041373292,-64.95151888314834
